"id";"tmp";"cmd_id";"value";"cmd_name";"enno_serial";"device_name";"createdAt";"updatedAt"
1081008;2021-01-20 07:00:00;249;62.78;FT;"GHA";Hydraulic Unit;;
1081776;2021-01-20 07:00:00;252;45.21;BT;"GHA";Hydraulic Unit;;
1081007;2021-01-20 06:45:00;249;61.37;FT;"GHA";Hydraulic Unit;;
1081775;2021-01-20 06:45:00;252;42.55;BT;"GHA";Hydraulic Unit;;
1081774;2021-01-20 06:30:00;252;43.97;BT;"GHA";Hydraulic Unit;;
1081006;2021-01-20 06:30:00;249;57.68;FT;"GHA";Hydraulic Unit;;
1081773;2021-01-20 06:15:00;252;41.72;BT;"GHA";Hydraulic Unit;;
1081005;2021-01-20 06:15:00;249;58.11;FT;"GHA";Hydraulic Unit;;
1081004;2021-01-20 06:00:00;249;58.95;FT;"GHA";Hydraulic Unit;;
1081772;2021-01-20 06:00:00;252;41.82;BT;"GHA";Hydraulic Unit;;
1081003;2021-01-20 05:45:00;249;57.6;FT;"GHA";Hydraulic Unit;;
1081771;2021-01-20 05:45:00;252;45.03;BT;"GHA";Hydraulic Unit;;
1081002;2021-01-20 05:30:00;249;63.47;FT;"GHA";Hydraulic Unit;;
1081770;2021-01-20 05:30:00;252;43.75;BT;"GHA";Hydraulic Unit;;
1081001;2021-01-20 05:15:00;249;61.86;FT;"GHA";Hydraulic Unit;;
1081769;2021-01-20 05:15:00;252;43.04;BT;"GHA";Hydraulic Unit;;
1081768;2021-01-20 05:00:00;252;44.65;BT;"GHA";Hydraulic Unit;;
1081000;2021-01-20 05:00:00;249;60.37;FT;"GHA";Hydraulic Unit;;
1080999;2021-01-20 04:45:00;249;61.92;FT;"GHA";Hydraulic Unit;;
1081767;2021-01-20 04:45:00;252;45.67;BT;"GHA";Hydraulic Unit;;
1080998;2021-01-20 04:30:00;249;61.58;FT;"GHA";Hydraulic Unit;;
1081766;2021-01-20 04:30:00;252;45.07;BT;"GHA";Hydraulic Unit;;
1080997;2021-01-20 04:15:00;249;59.95;FT;"GHA";Hydraulic Unit;;
1081765;2021-01-20 04:15:00;252;45.02;BT;"GHA";Hydraulic Unit;;
1080996;2021-01-20 04:00:00;249;59.66;FT;"GHA";Hydraulic Unit;;
1081764;2021-01-20 04:00:00;252;45.08;BT;"GHA";Hydraulic Unit;;
1081763;2021-01-20 03:45:00;252;45.95;BT;"GHA";Hydraulic Unit;;
1080995;2021-01-20 03:45:00;249;63.95;FT;"GHA";Hydraulic Unit;;
1081762;2021-01-20 03:30:00;252;44.62;BT;"GHA";Hydraulic Unit;;
1080994;2021-01-20 03:30:00;249;59.05;FT;"GHA";Hydraulic Unit;;
1080993;2021-01-20 03:15:00;249;62.36;FT;"GHA";Hydraulic Unit;;
1081761;2021-01-20 03:15:00;252;47.84;BT;"GHA";Hydraulic Unit;;
1080992;2021-01-20 03:00:00;249;62.01;FT;"GHA";Hydraulic Unit;;
1081760;2021-01-20 03:00:00;252;48.32;BT;"GHA";Hydraulic Unit;;
1081759;2021-01-20 02:45:00;252;46.75;BT;"GHA";Hydraulic Unit;;
1080991;2021-01-20 02:45:00;249;63.45;FT;"GHA";Hydraulic Unit;;
1081758;2021-01-20 02:30:00;252;44.32;BT;"GHA";Hydraulic Unit;;
1080990;2021-01-20 02:30:00;249;66.68;FT;"GHA";Hydraulic Unit;;
1081757;2021-01-20 02:15:00;252;43.94;BT;"GHA";Hydraulic Unit;;
1080989;2021-01-20 02:15:00;249;62.69;FT;"GHA";Hydraulic Unit;;
1081756;2021-01-20 02:00:00;252;42.9;BT;"GHA";Hydraulic Unit;;
1080988;2021-01-20 02:00:00;249;60.56;FT;"GHA";Hydraulic Unit;;
1081755;2021-01-20 01:45:00;252;44.68;BT;"GHA";Hydraulic Unit;;
1080987;2021-01-20 01:45:00;249;62.09;FT;"GHA";Hydraulic Unit;;
1081754;2021-01-20 01:30:00;252;43.58;BT;"GHA";Hydraulic Unit;;
1080986;2021-01-20 01:30:00;249;59.59;FT;"GHA";Hydraulic Unit;;
1081753;2021-01-20 01:15:00;252;44.23;BT;"GHA";Hydraulic Unit;;
1080985;2021-01-20 01:15:00;249;59.75;FT;"GHA";Hydraulic Unit;;
1080984;2021-01-20 01:00:00;249;64.93;FT;"GHA";Hydraulic Unit;;
1081752;2021-01-20 01:00:00;252;46.46;BT;"GHA";Hydraulic Unit;;
1081751;2021-01-20 00:45:00;252;46.03;BT;"GHA";Hydraulic Unit;;
1080983;2021-01-20 00:45:00;249;61.16;FT;"GHA";Hydraulic Unit;;
1080982;2021-01-20 00:30:00;249;61.37;FT;"GHA";Hydraulic Unit;;
1081750;2021-01-20 00:30:00;252;47.25;BT;"GHA";Hydraulic Unit;;
1081749;2021-01-20 00:15:00;252;45.65;BT;"GHA";Hydraulic Unit;;
1080981;2021-01-20 00:15:00;249;63.4;FT;"GHA";Hydraulic Unit;;
1080980;2021-01-20 00:00:00;249;63.24;FT;"GHA";Hydraulic Unit;;
1081748;2021-01-20 00:00:00;252;49.65;BT;"GHA";Hydraulic Unit;;
1080979;2021-01-19 23:45:00;249;61.24;FT;"GHA";Hydraulic Unit;;
1081747;2021-01-19 23:45:00;252;45.15;BT;"GHA";Hydraulic Unit;;
1080978;2021-01-19 23:30:00;249;63.65;FT;"GHA";Hydraulic Unit;;
1081746;2021-01-19 23:30:00;252;44.04;BT;"GHA";Hydraulic Unit;;
1081745;2021-01-19 23:15:00;252;36.83;BT;"GHA";Hydraulic Unit;;
1080977;2021-01-19 23:15:00;249;61.09;FT;"GHA";Hydraulic Unit;;
1081744;2021-01-19 23:00:00;252;38.67;BT;"GHA";Hydraulic Unit;;
1080976;2021-01-19 23:00:00;249;38.1;FT;"GHA";Hydraulic Unit;;
1081743;2021-01-19 22:45:00;252;41.89;BT;"GHA";Hydraulic Unit;;
1080975;2021-01-19 22:45:00;249;42.61;FT;"GHA";Hydraulic Unit;;
1080974;2021-01-19 22:30:00;249;60.25;FT;"GHA";Hydraulic Unit;;
1081742;2021-01-19 22:30:00;252;44.54;BT;"GHA";Hydraulic Unit;;
1080973;2021-01-19 22:15:00;249;61.45;FT;"GHA";Hydraulic Unit;;
1081741;2021-01-19 22:15:00;252;45.01;BT;"GHA";Hydraulic Unit;;
