"tmp";"cmd_id";"value";"cmd_name";"device_name";"key";"id";"createdAt";"updatedAt"
2021-01-01 08:00:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131349;;
2021-01-01 08:00:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128948;;
2021-01-01 08:15:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131350;;
2021-01-01 08:15:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128949;;
2021-01-01 08:30:00;264;1.9;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128950;;
2021-01-01 08:30:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131351;;
2021-01-01 08:45:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128951;;
2021-01-01 08:45:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131352;;
2021-01-01 09:00:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128952;;
2021-01-01 09:00:00;274;1;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131353;;
2021-01-01 09:15:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128953;;
2021-01-01 09:15:00;274;3;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131354;;
2021-01-01 09:30:00;274;8;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131355;;
2021-01-01 09:30:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128954;;
2021-01-01 09:45:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128955;;
2021-01-01 09:45:00;274;16;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131356;;
2021-01-01 10:00:00;274;25;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131357;;
2021-01-01 10:00:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128956;;
2021-01-01 10:15:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128957;;
2021-01-01 10:15:00;274;26;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131358;;
2021-01-01 10:30:00;274;35;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131359;;
2021-01-01 10:30:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128958;;
2021-01-01 10:45:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128959;;
2021-01-01 10:45:00;274;45;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131360;;
2021-01-01 11:00:00;264;1.9;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128960;;
2021-01-01 11:00:00;274;56;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131361;;
2021-01-01 11:15:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128961;;
2021-01-01 11:15:00;274;61;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131362;;
2021-01-01 11:30:00;274;70;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131363;;
2021-01-01 11:30:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128962;;
2021-01-01 11:45:00;274;79;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131364;;
2021-01-01 11:45:00;264;2.1;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128963;;
2021-01-01 12:00:00;274;87;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131365;;
2021-01-01 12:00:00;264;2.1;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128964;;
2021-01-01 12:15:00;274;89;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131366;;
2021-01-01 12:15:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128965;;
2021-01-01 12:30:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128966;;
2021-01-01 12:30:00;274;87;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131367;;
2021-01-01 12:45:00;274;84;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131368;;
2021-01-01 12:45:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128967;;
2021-01-01 13:00:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128968;;
2021-01-01 13:00:00;274;81;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131369;;
2021-01-01 13:15:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128969;;
2021-01-01 13:15:00;274;97;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131370;;
2021-01-01 13:30:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128970;;
2021-01-01 13:30:00;274;97;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131371;;
2021-01-01 13:45:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128971;;
2021-01-01 13:45:00;274;96;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131372;;
2021-01-01 14:00:00;264;1.9;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128972;;
2021-01-01 14:00:00;274;94;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131373;;
2021-01-01 14:15:00;264;1.9;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128973;;
2021-01-01 14:15:00;274;81;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131374;;
2021-01-01 14:30:00;274;74;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131375;;
2021-01-01 14:30:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128974;;
2021-01-01 14:45:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128975;;
2021-01-01 14:45:00;274;67;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131376;;
2021-01-01 15:00:00;274;59;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131377;;
2021-01-01 15:00:00;264;1.8;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128976;;
2021-01-01 15:15:00;264;1.9;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128977;;
2021-01-01 15:15:00;274;53;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131378;;
2021-01-01 15:30:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128978;;
2021-01-01 15:30:00;274;43;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131379;;
2021-01-01 15:45:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128979;;
2021-01-01 15:45:00;274;34;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131380;;
